CEP	LOGRADOURO	BAIRRO	LAT	LONG
50010360	Avenida Dantas Barreto	Santo Antônio	-8.06533310	-34.87882350
50010919	Avenida Dantas Barreto, 191	Santo Antônio	-8.06194170	-34.87797830
50010938	Avenida Dantas Barreto, 300	Santo Antônio	-8.06291410	-34.87856020
50010925	Avenida Dantas Barreto, 498	Santo Antônio	-8.06434270	-34.87867390
50010921	Avenida Dantas Barreto, 507	Santo Antônio	-8.06475690	-34.87832360
50010922	Avenida Dantas Barreto, 512	Santo Antônio	-8.06482600	-34.87876760
50010923	Avenida Dantas Barreto, 564	Santo Antônio	-8.06535940	-34.87893930
50010924	Avenida Dantas Barreto, 576	Santo Antônio	-8.06546100	-34.87899320
50010000	Avenida Guararapes	Santo Antônio	-8.06341610	-34.87906680
50010918	Avenida Guararapes, 111	Santo Antônio	-8.06380470	-34.87876810
50010903	Avenida Guararapes, 154	Santo Antônio	-8.06350390	-34.87931440
50010935	Avenida Guararapes, 161	Santo Antônio	-8.06370610	-34.87899130
50010900	Avenida Guararapes, 250	Santo Antônio	-8.06265130	-34.87987410
50010972	Avenida Guararapes, 250 5º Andar	Santo Antônio	-8.06265130	-34.87987410
50010971	Avenida Guararapes, 250 Conjunto 510	Santo Antônio	-8.06265130	-34.87987410
50010917	Avenida Guararapes, 86	Santo Antônio	-8.06281880	-34.87935760
50010230	Avenida Martins de Barros	Santo Antônio	-8.06410400	-34.87637160
50010929	Avenida Martins de Barros, 593	Santo Antônio	-8.06573370	-34.87638090
50010170	Avenida Nossa Senhora do Carmo	Santo Antônio	-8.06616230	-34.87759910
50020080	Avenida Rio Capibaribe	Santo Antônio	-8.06556800	-34.88300850
50020540	Beco do Marroquim	Santo Antônio	-8.06768240	-34.87688920
50020070	Cais da Detenção	Santo Antônio	-8.06671160	-34.88354120
50020665	Cais Santa Rita	Santo Antônio	-8.07030830	-34.87714920
50020971	Cais Santa Rita, 30	Santo Antônio	-8.06927880	-34.87599470
50010180	Pátio Nossa Senhora do Carmo	Santo Antônio	-8.06607730	-34.88003030
50010913	Pátio Nossa Senhora do Carmo, 30	Santo Antônio	-8.06591800	-34.87939100
50010080	Praça da Independência	Santo Antônio	-8.06438370	-34.87794560
50010902	Praça da Independência, 12	Santo Antônio	-8.06443570	-34.87843830
50010927	Praça da Independência, 29	Santo Antônio	-8.06381570	-34.87817840
50010040	Praça da República	Santo Antônio	-8.06074660	-34.87800730
50010928	Praça da República, s/n	Santo Antônio	-8.06074660	-34.87800730
50010160	Praça Dezessete	Santo Antônio	-8.06546550	-34.87672980
50020105	Praça Dom Vital	Santo Antônio	-8.06825470	-34.87816090
50010500	Praça Embaixador Assis Chateaubriand	Santo Antônio	-8.03066630	-34.89486870
50010480	Praça Joaquim Nabuco	Santo Antônio	-8.06461150	-34.88107780
50020100	Praça Visconde de Mauá	Santo Antônio	-8.06679070	-34.88309210
50010420	Rua Alarico Bezerra	Santo Antônio	-8.06499690	-34.88034900
50010390	Rua Camboa do Carmo	Santo Antônio	-8.06505900	-34.87950410
50010430	Rua Cleto Campelo	Santo Antônio	-8.06259990	-34.87943750
50020620	Rua da Carioca	Santo Antônio	-8.06733110	-34.87637130
50010520	Rua da Concórdia	Santo Antônio	-8.06526760	-34.88127290
50020903	Rua da Concórdia, 153	Santo Antônio	-8.06528130	-34.88100770
50010460	Rua da Palma	Santo Antônio	-8.06555130	-34.88080390
50020580	Rua da Penha	Santo Antônio	-8.06728410	-34.87806570
50020550	Rua da Praia	Santo Antônio	-8.06718600	-34.87690850
50010410	Rua da Roda	Santo Antônio	-8.06308840	-34.87894440
50020545	Rua das Águas Verdes	Santo Antônio	-8.06710160	-34.87912740
50010110	Rua das Flores	Santo Antônio	-8.06468780	-34.87985480
50010300	Rua Diário de Pernambuco	Santo Antônio	-8.06337600	-34.87758200
50020275	Rua Direita	Santo Antônio	-8.06743400	-34.87846030
50010340	Rua do Fogo	Santo Antônio	-8.06612730	-34.87826590
50020570	Rua do Livramento	Santo Antônio	-8.06639680	-34.87766540
50020625	Rua do Porão	Santo Antônio	-8.06842110	-34.87692120
50020560	Rua do Rangel	Santo Antônio	-8.06716220	-34.87736390
50010470	Rua do Sol	Santo Antônio	-8.06274640	-34.88044080
50010936	Rua do Sol, 143	Santo Antônio	-8.06198480	-34.87983740
50010440	Rua Doutor Amaro Pedrosa	Santo Antônio	-8.04902210	-34.95697430
50010400	Rua Doutor José Henrique Wanderley	Santo Antônio	-8.06238930	-34.87876600
50060770	Rua Doutor José Mariano	Santo Antônio	-8.06503440	-34.88568550
50010050	Rua Doutor Moacir Baracho	Santo Antônio	-8.06211130	-34.87677610
50010930	Rua Doutor Moacir Baracho, s/n	Santo Antônio	-8.06211130	-34.87677610
50010290	Rua Duque de Caxias	Santo Antônio	-8.06517460	-34.87738250
50010310	Rua Engenheiro Ubaldo Gomes de Matos	Santo Antônio	-8.06338440	-34.87802860
50010908	Rua Engenheiro Ubaldo Gomes de Matos, 119	Santo Antônio	-8.06357100	-34.87793320
50010907	Rua Engenheiro Ubaldo Gomes de Matos, 53	Santo Antônio	-8.06317580	-34.87790040
50010140	Rua Estreita do Rosário	Santo Antônio	-8.06523840	-34.87789190
50020065	Rua Floriano Peixoto	Santo Antônio	-8.06503380	-34.88192970
50010120	Rua Frei Caneca	Santo Antônio	-8.06499240	-34.88063000
50010912	Rua Frei Caneca, 59	Santo Antônio	-8.06511330	-34.87996710
50010030	Rua Frei Vicente do Salvador	Santo Antônio	-8.06183930	-34.87754680
50010240	Rua Imperador Dom Pedro II	Santo Antônio	-8.06379640	-34.87688570
50010933	Rua Imperador Dom Pedro II, 235	Santo Antônio	-8.06257610	-34.87700760
50010931	Rua Imperador Dom Pedro II, s/n	Santo Antônio	-8.06379640	-34.87688570
50010130	Rua Infante Dom Henrique	Santo Antônio	-8.12376190	-34.89736140
50010450	Rua João Souto Maior	Santo Antônio	-8.06601510	-34.87968960
50010370	Rua Josefa Paes de Carvalho	Santo Antônio	-8.06549000	-34.87929700
50010320	Rua Larga do Rosário	Santo Antônio	-8.06480610	-34.87789480
50020900	Rua Marquês do Herval, 150	Santo Antônio	-8.06597170	-34.88239630
50020901	Rua Marquês do Herval, 167	Santo Antônio	-8.06630180	-34.88192770
50010060	Rua Marquês do Recife	Santo Antônio	-8.06337900	-34.87742370
50010090	Rua Matias de Albuquerque	Santo Antônio	-8.06375350	-34.87966840
50010914	Rua Matias de Albuquerque, 223	Santo Antônio	-8.06389790	-34.87877990
50010100	Rua Nova	Santo Antônio	-8.06422280	-34.87962270
50010911	Rua Nova, 225	Santo Antônio	-8.06437180	-34.87951060
50010380	Rua Pedro Ivo	Santo Antônio	-12.95979010	-38.49073200
50010070	Rua Primeiro de Março	Santo Antônio	-8.06422330	-34.87698500
50010010	Rua Siqueira Campos	Santo Antônio	-8.06269130	-34.87826360
50010904	Rua Siqueira Campos, 160	Santo Antônio	-8.06265560	-34.87790150
50010905	Rua Siqueira Campos, 251	Santo Antônio	-8.06255270	-34.87865150
50010906	Rua Siqueira Campos, 279	Santo Antônio	-8.06252310	-34.87888860
50010932	Rua Siqueira Campos, 304	Santo Antônio	-8.06219420	-34.87909900
50020095	Rua Tobias Barreto	Santo Antônio	-8.06726280	-34.88091550
50010020	Rua Ulhoa Cintra	Santo Antônio	-8.06209310	-34.87911640
50010025	Rua Vinte e Quatro de Maio	Santo Antônio	-8.06724680	-34.88075730
50020970	Rua Vinte e Quatro de Maio, 59	Santo Antônio	-8.06662260	-34.88063570
50020073	Travessa Cais da Detenção	Santo Antônio	-8.06671160	-34.88354120
50010150	Travessa da Congregação	Santo Antônio	-8.06554470	-34.87719650
50020010	Travessa do Falcão	Santo Antônio	-8.06699700	-34.88060500
50090680	1º Beco dos Caducos	São José	-8.07507450	-34.90168990
50090670	2º Beco dos Caducos	São José	-8.07507450	-34.90168990
50020000	Avenida Dantas Barreto	São José	-8.06792040	-34.88058810
50020972	Avenida Dantas Barreto, 1090	São José	-8.06942680	-34.88205260
50020904	Avenida Dantas Barreto, 1186	São José	-8.07024500	-34.88265400
50020902	Avenida Dantas Barreto, 1200	São José	-8.07029090	-34.88269200
50090040	Avenida Engenheiro José Estelita	São José	-8.07498660	-34.88526580
50090310	Avenida Saturnino de Brito	São José	-8.07857290	-34.89307820
50090010	Avenida Sul Governador Cid Sampaio	São José	-8.07543290	-34.89067760
50090140	Beco do Corrimboque	São José	-8.07229730	-34.88408890
50090600	Beco dos Caducos	São José	-8.07610760	-34.90121510
50090620	Beco Itapuã	São José	-8.06820930	-34.92374330
50090215	Beco Maria de Fatima	São José	-8.03168890	-34.93048970
50090213	Beco Silva	São José	-8.06038760	-34.90984140
50020455	Cais Santa Rita	São José	-8.06991150	-34.87695140
50020220	Pátio de São Pedro	São José	-8.06700900	-34.87894400
