NOME_VIA	LONG	LAT
Avenida Domingos Ferreira - Herculano Bandeira	-34.88847	-8.08539
Avenida Domingos Ferreira - Herculano Bandeira	-34.8882	-8.08568
Avenida Domingos Ferreira - Herculano Bandeira	-34.88802	-8.08586
Avenida Domingos Ferreira - Herculano Bandeira	-34.8878	-8.0861
Avenida Domingos Ferreira - Herculano Bandeira	-34.88767	-8.08624
Avenida Domingos Ferreira - Herculano Bandeira	-34.8876	-8.08631
Avenida Domingos Ferreira - Herculano Bandeira	-34.88755	-8.08636
Avenida Domingos Ferreira - Herculano Bandeira	-34.88752	-8.08639
Avenida Domingos Ferreira - Herculano Bandeira	-34.88747	-8.08644
Avenida Domingos Ferreira - Herculano Bandeira	-34.88692	-8.08702
Avenida Domingos Ferreira - Herculano Bandeira	-34.8863	-8.08767
Avenida Domingos Ferreira - Herculano Bandeira	-34.88616	-8.08782
Avenida Domingos Ferreira - Herculano Bandeira	-34.88601	-8.08797
Avenida Domingos Ferreira - Herculano Bandeira	-34.88577	-8.08822
Avenida Domingos Ferreira - Herculano Bandeira	-34.88566	-8.08834
Avenida Domingos Ferreira - Herculano Bandeira	-34.8855	-8.08851
Avenida Domingos Ferreira - Herculano Bandeira	-34.88532	-8.08869
Avenida Domingos Ferreira - Herculano Bandeira	-34.88513	-8.0889
Avenida Domingos Ferreira - Herculano Bandeira	-34.88508	-8.08894
Avenida Domingos Ferreira - Herculano Bandeira	-34.88487	-8.08917
Avenida Domingos Ferreira - Herculano Bandeira	-34.88471	-8.08933
Avenida Domingos Ferreira - Herculano Bandeira	-34.88466	-8.08939
Avenida Domingos Ferreira - Herculano Bandeira	-34.88462	-8.08943
Avenida Domingos Ferreira - Herculano Bandeira	-34.8846	-8.08948
Avenida Domingos Ferreira - Herculano Bandeira	-34.88458	-8.08951
Avenida Domingos Ferreira - Herculano Bandeira	-34.88457	-8.08955
Avenida Domingos Ferreira - Herculano Bandeira	-34.88456	-8.08961
Avenida Domingos Ferreira - Herculano Bandeira	-34.88454	-8.08967
Avenida Domingos Ferreira - Herculano Bandeira	-34.88454	-8.08971
Avenida Domingos Ferreira - Herculano Bandeira	-34.88452	-8.08979
Avenida Domingos Ferreira - Herculano Bandeira	-34.88452	-8.08988
