ID_AREA	NOME_AREA	TIPO_AREA	LAT	LONG
1		Area Verde	-8.038875265	-34.87617362
2	Dr Jose Vilela	Praça	-8.034090657	-34.91157119
3	Dr Lula Cabral De Melo	Praça	-8.033198405	-34.91029444
4	Jornalista Francisco Pessoa De Queiroz Júnior	Praça	-8.037484858	-34.91386712
5	Rádio Jornal Do Comercio	Praça	-8.036970992	-34.913944
6	Rádio Jornal Do Comércio	Praça	-8.03708098	-34.91429516
7	Osvaldo Cruz	Praça	-8.055074228	-34.89156634
8		Area Verde	-8.039951285	-34.87859053
9	Flôr De Santana	Praça	-8.038112654	-34.91806848
10	Da Vila Teimosinho	Praça	-8.085811115	-34.88401847
11	Da Restauraçao/ Do Pirulito	Praça	-8.069986929	-34.8802037
12	Do Monteiro	Praça	-8.027913492	-34.92798922
13	Sérgio Loreto	Praça	-8.072488891	-34.8853334
14	Das Cinco Pontas	Praça	-8.071880743	-34.88214292
15	Das Cinco Pontas	Praça	-8.071573012	-34.88188765
16	Dezessete	Praça	-8.065308057	-34.87691259
17	Das Cinco Pontas	Praça	-8.071007482	-34.88144625
18	Dom Vital	Praça	-8.068186779	-34.87835072
19	Joaquim Nabuco	Praça	-8.064545759	-34.88125311
20	Dezessete	Praça	-8.065251334	-34.87653876
21	Da Comunidade Luso - Brasileira	Praça	-8.053736449	-34.87103187
22	Da Independência/ Diário De Pernambuco	Praça	-8.064166299	-34.87815957
23	Chora Menino	Praça	-8.060289347	-34.89488865
24	Rio Branco ( Marco Zero)	Praça	-8.063157342	-34.87109061
25	Tiradentes	Praça	-8.058698428	-34.87207801
26		Area Verde	-8.040064717	-34.87845583
27	General Carlos Pinto/ Largo Dos Casados	Praça	-8.040097305	-34.87190978
28	Do Rosario	Praça	-8.050490532	-34.95836889
29	Maciel Pinheiro	Praça	-8.062376317	-34.88573807
30	Parque Amorim	Praça	-8.052047649	-34.89498176
31		Area Verde	-8.042891848	-34.88461108
32	San Martin	Praça	-8.071011847	-34.92879124
33		Area Verde	-8.075195066	-34.93140072
34		Area Verde	-8.040140979	-34.87885013
35	Profeta Joseph Smith/ Da Santa	Praça	-8.096888965	-34.88604569
36	Miguel De Cervantes	Praça	-8.067558726	-34.89395077
37	Miguel De Cervantes	Praça	-8.066101465	-34.89327839
38	Miguel De Cervantes	Praça	-8.066768098	-34.89357782
39	Dom Jose Pereira Alves	Praça	-8.049211071	-34.92536237
40	Dom Diogo Camarão	Praça	-8.060342319	-34.92881848
41	Pantanal	Praca	-8.094827242	-34.93383621
42	Da Bandeira	Praça	-8.061391901	-34.90159021
43	Salgueiro	Praça	-8.042580862	-34.93823736
44	Da Esperança/ Largo Dona Suzana	Praça	-8.054287351	-34.91619183
45	Euclides Da Cunha / Do Internacional	Praça	-8.058381	-34.9035688
46	Camilo Pereira Carneiro	Praça	-8.068604891	-34.94432198
47	Da Rua Tijucal	Area Verde	-8.013646924	-34.93138401
48		Area Verde	-8.041435012	-34.91669427
49	Da Rua Da Aurora	Area Verde	-8.054397738	-34.87641698
50	Cemitério De Santo Amaro	Area Verde	-8.049582688	-34.88498801
51		Area Verde	-8.046766289	-34.91858353
52	Da Conceição	Praça	-8.019349645	-34.91530281
53		Area Verde	-8.071264414	-34.9252638
54		Area Verde	-8.037785157	-34.87559909
55		Area Verde	-8.040273354	-34.8790422
56		Area Verde	-8.039557198	-34.87758353
57		Area Verde	-8.039077325	-34.87836625
58		Area Verde	-8.039652709	-34.87960599
59		Area Verde	-8.040196208	-34.88078221
60		Area Verde	-8.042645879	-34.88604571
61		Area Verde	-8.044428742	-34.88808027
62	Da Avenida Militar	Area Verde	-8.051739587	-34.87140794
63	Nossa Senhora Da Boa Viagem	Praça	-8.132007092	-34.90073518
64	Da Rua Potengy	Area Verde	-8.105240332	-34.91980071
65	Da Avenida Militar	Area Verde	-8.051520894	-34.87194045
66	Da Avenida Militar	Area Verde	-8.052881346	-34.87170011
67	Da Avenida Militar	Area Verde	-8.051871726	-34.87167723
68	Do Cais Do Apolo	Area Verde	-8.054053374	-34.87184563
69	Fernando Galvao/Quatro De Outubro	Praça	-8.095441959	-34.93894494
70	Da Av Engenheiro José Estelita	Area Verde	-8.077561278	-34.89143533
71	Frei Caneca - A	Praça	-8.072191159	-34.88117152
72	Da Rua Do Futuro	Area Verde	-8.034005727	-34.90573516
73		Area Verde	-8.041356705	-34.88147277
74	Da Av Engenheiro Abdias De Carvalho	Area Verde	-8.06095448	-34.90486416
75	Da Av Engenheiro Abdias De Carvalho	Area Verde	-8.061248393	-34.90476612
76	Jardim Sao Paulo/ João Cabral De Melo Neto	Praça	-8.081623961	-34.93836152
77	Da Av Engenheiro Abdias De Carvalho	Area Verde	-8.061310509	-34.90468385
78	Da Av Engenheiro Abdias De Carvalho	Area Verde	-8.061265784	-34.90495975
79	Da Rua Desenhista Eulino Santos	Area Verde	-8.022622716	-34.88358087
80	Rua João Praxedes De Oliveira Filho	Area Verde	-8.019861155	-34.87964878
81	Avenida Beberibe	Area Verde	-8.014560519	-34.88976264
82	Da Rua Hercília De Medeiros	Area Verde	-8.009903415	-34.88279639
83	Da Avenida Prefeito Artur Lima Cavalcanti	Area Verde	-8.046079646	-34.87409266
84	Da Rua Capitão Temudo	Area Verde	-8.07862112	-34.89231853
85	Rua Paissandu	Area Verde	-8.059680128	-34.89434829
86	Da Avenida Lins Petit	Area Verde	-8.060749595	-34.89497265
87	Da Rua Da Paz	Area Verde	-8.080332697	-34.90644806
88	Da Rua General Francisco Figueiroa	Area Verde	-8.092892551	-34.93000118
89	Da Avenida General San Martin	Area Verde	-8.070637246	-34.92899331
90	Da Avenida General San Martin	Area Verde	-8.07063049	-34.92868239
91	Beira Rio	Praça	-8.046253452	-34.90402245
92	Beira Rio	Praça	-8.049835422	-34.90450432
93	Da Rua Padre Teófilo Tworz	Area Verde	-8.065392699	-34.90904097
94	Da Av Norte Miguel Arraes De Alencar	Area Verde	-8.01260259	-34.93214478
95	Da Avenida General San Martin	Area Verde	-8.070825919	-34.92843602
96	Da Avenida General San Martin	Area Verde	-8.071371718	-34.92859386
97	Da Avenida General San Martin	Area Verde	-8.071159946	-34.92915854
98	Da Avenida Luiz De Lacerda	Area Verde	-8.036639892	-34.94315655
99	Da Rua Benfica	Area Verde	-8.058063583	-34.90426786
100	Da Rua Benfica	Area Verde	-8.058643274	-34.90281486
101	Da Rua Arão Botler	Area Verde	-8.00920484	-34.88856854
102	Da Av Beberibe/ Av Cidade De Monteiro	Area Verde	-8.009918879	-34.8888922
103	Da Av Beberibe/ Av Cidade De Monteiro	Area Verde	-8.009474259	-34.88883199
104	Da Avenida Governador Agamenon Magalhaes	Area Verde	-8.043270963	-34.88559356
105	Do Monteiro	Praça	-8.02785261	-34.92845605
106	Prof. Barreto Campelo	Praça	-8.047997177	-34.91484274
107	Deputado Fábio Correa	Praça	-8.022359393	-34.90632204
108	Prof. Barreto Campelo	Praça	-8.04702363	-34.91399529
109	Joao Pessoa De Queiroz	Praça	-8.067352423	-34.9329581
110	Do Paraiso	Praça	-8.08105852	-34.90718956
111	Academia Da Cidade	Area Verde	-8.041581726	-34.8837587
112	Vila Do Moinho Recife	Praça	-8.03731776	-34.88891284
113		Area Verde	-8.043698771	-34.88829308
114	São Braz	Praça	-8.094377412	-34.93161111
115	Alfredo Pinto/Das Lavadeiras	Praça	-8.094351239	-34.93686828
116	Do Sena	Praça	-8.095864063	-34.9336817
117	Jornalista Anibal Fernandes	Praça	-8.093486844	-34.93011487
118	Professor Abdgar Soriano	Praça	-8.09243358	-34.93017666
119	Capiba	Praça	-8.043766763	-34.89813483
120	Maria Da Conceição Otacilio	Praça	-8.089525934	-34.94038585
121	De Campo Grande/Eudoro Correa	Praça	-8.032299001	-34.87744157
122	Augustus Rodrigues	Praça	-8.039388541	-34.88519858
123	Da República	Praça	-8.060768613	-34.87844425
124	Da República	Praça	-8.061000454	-34.8768515
125	Da República	Praça	-8.06089663	-34.87757372
126	Gregorio Bezerra	Praça	-8.044551422	-34.91490004
127	Da Saudade/ Campo Santo	Praça	-8.05036453	-34.88283192
128	Abelardo Rijo	Praça	-8.078168684	-34.89174203
129	Governador Paulo Guerra	Praça	-8.080074629	-34.89232223
130	Da Cavalaria	Praça	-8.065380736	-34.92749122
131	Dr Adolfo Cirne / Faculdade De Direito	Praça	-8.058708287	-34.88265545
132	Da Cavalaria	Praça	-8.065579426	-34.92710117
133	Arari Ferreira Fonseca	Praça	-8.029962639	-34.93615205
134	Sao Benedito Pereira Dos Santos	Praça	-8.037886757	-34.98178557
135	Professor Moraes Rego/ Do Taxi	Praça	-8.043240462	-34.94389603
136	Jockey Clube	Praça	-8.061039542	-34.91281501
137	Filonila Ferreira	Praça	-8.041457663	-34.95658737
138	Nossa Senhora Da Paz / Largo Da Paz	Praça	-8.080605731	-34.90612789
139	Bernardo  Vieira De Melo	Praça	-8.090245819	-34.93875574
140	Sitio Do Benvenuto / Da Barrigada	Praça	-8.075344456	-34.92555684
141	Sitio Do Benvenuto/ Da Barrigada	Praça	-8.075233289	-34.92502221
142	Sitio Do Da Barrigada	Praça	-8.075122195	-34.9244936
143	Abelardo Baltar	Praça	-8.087228836	-34.88271544
144	Abelardo Baltar	Praça	-8.087433482	-34.88258653
145	Alcides Ferreira Leal/ Do Jordao	Praça	-8.130504443	-34.938465
146	Da Luz / Da Fraternidade	Praça	-8.115080632	-34.95025587
147	Do Terço/ Sebastiao Pontes	Praca	-8.09759545	-34.93388892
148	Presidente Kennedy	Praça	-8.134257824	-34.94174368
149	São José Do Manguinho	Praça	-8.048095165	-34.89890896
150	Elvira Andrade De Souza	Praça	-8.043753544	-34.9012548
151	Padre Marcelino Champangnat	Praça	-8.041620727	-34.90053842
152	Professor Fleming	Praça	-8.035270957	-34.90591214
153	Da Jaqueira	Parque	-8.036906181	-34.90482213
154	Casa Forte	Praça	-8.035374529	-34.91975305
155	Alice De Albuiquerque	Praça	-8.012737276	-34.88380124
156	Casa Forte	Praça	-8.033866468	-34.91895114
157	Farias Neves	Praça	-8.015644143	-34.94419349
158	Do Trabalho	Praça	-8.023225392	-34.91452741
159	Batista Da Silva/ Operário Luis Da Hora	Praca	-8.042476011	-34.90834573
160	Ponte D Uchoa	Praça	-8.041396064	-34.9033467
161	Barão De Caiara	Praca	-8.038067213	-34.91098217
162	Ascenso Ferreira	Praça	-8.06255675	-34.8736634
163	Da Convenção	Praça	-8.003341827	-34.89751891
164	Vinte De Julho	Praça	-8.025503039	-34.87881908
165	Vinte De Julho	Praça	-8.025687475	-34.87890863
166	Vinte De Julho	Praça	-8.025966409	-34.8788127
167	Bom Pastor	Praça	-8.048658972	-34.94001791
168	Simão Borba	Praça	-8.096811109	-34.92477434
169	Jules Rimet/1º Jardim De Boa Viagem	Praça	-8.101686472	-34.8854526
170		Area Verde	-8.042215097	-34.88329789
171	La Corunã / 2ª Jardim De Boa Viagem	Praça	-8.104925343	-34.88705959
172	Parque Infantil Walt Disney	Praça	-8.107954945	-34.88907809
173	Cidade Do Porto	Praça	-8.105831462	-34.88912514
174	Cidade Do Porto	Praça	-8.10641352	-34.88937024
175	Cidade Do Porto	Praça	-8.106038844	-34.88944621
176	Visconde De Mauá	Praça	-8.066949294	-34.88301092
177	Visconde De Mauá	Praça	-8.032290771	-34.89841292
178	Artur Oscar / Arsenal De Marinha	Praça	-8.061041053	-34.87128455
179	Treze De Maio	Parque	-8.056972105	-34.8815344
180	Da Convenção	Praça	-8.002903481	-34.89772051
181	Da Convenção	Praça	-8.002374716	-34.89726771
182	Do Berardo	Praça	-8.05663446	-34.91250896
183	Beatriz Pereira Carneiro	Praça	-8.040415151	-34.87065066
184	Prof. Agamenon Magalhães	Praça	-8.043876748	-34.88213478
185	Ministro Joao Gonçalves De Souza/ Gaspar Perez	Praça	-8.048164548	-34.94373587
186	Forte Do Arraial Novo Do Bom Jesus	Parque	-8.05849178	-34.93190824
187	Forte Do Arraial Novo Do Bom Jesus	Parque	-8.056643274	-34.93093265
188	Eça De Queiroz	Praça	-8.050718298	-34.90697695
189	Solange Pinto Melo	Praça	-8.052486506	-34.90866922
190	Solange Pinto Melo	Praça	-8.054042493	-34.90886132
191	Tobias Vitorino	Praça	-8.012621221	-34.88648683
192	Da Redenção	Praça	-8.055797033	-34.9457789
193	Domingos Giovaneti	Praça	-8.047287513	-34.90435936
194	Astério Rufino Alves/ Da Estância/Professora Julieta Moura	Praça	-8.086152993	-34.93252543
195	Luiz Gonzaga	Praça	-8.114512026	-34.95083597
196	Tertuliano  Feitosa	Praça	-8.031892077	-34.88655079
197	Ulisses Leon De Oliveira/ Men De Sa	Praça	-8.02933478	-34.88946523
198	Vereador Antonio Luiz Neto	Praça	-8.028152063	-34.89072248
199	Professor Luiz Inácio Pessoa De Melo	Praça	-8.030706977	-34.89487228
200	Phaelante Da Câmara	Praça	-8.033021471	-34.89645357
201	Amaro Albino Pimentel	Praça	-8.029928162	-34.89786528
202	Jose Sales Filho/ Ponte Da Torre	Praça	-8.045159731	-34.9046566
203	Professor Coelho De Almeida	Praça	-8.045449563	-34.93159909
204	Pinto Damaso Da Varzea	Praça	-8.048372188	-34.95930836
205	Manuel Markman	Praca	-8.036473407	-34.90945407
206	Pinto Damaso Da Varzea	Praça	-8.049159781	-34.9594845
207	Do Caxanga	Praça	-8.031182701	-34.95495451
208	Frei Caneca	Praça	-8.072316377	-34.88172272
209	Joao Xxiii	Praça	-8.083224468	-34.95535994
210	Mercia De Albuquerque	Praça	-8.095123619	-34.93238217
211	Olavo Bilac	Praca	-8.057103901	-34.88299549
212	Des. Carlos Xavier Paes Barreto/Pais E Filhos	Praça	-8.118049717	-34.92051981
213	Aleixo De Oliveira	Praça	-8.112473679	-34.92441046
214	Sebastião Malta/ Sesquicentenário	Praça	-8.136669744	-34.9369309
215	Marcantonio Vilaca/ Das Cassuarinas	Praça	-8.098990627	-34.88932383
216	Brigadeiro Ivo Borges/ Seleção 70	Praça	-8.150688881	-34.91047983
217	Da Rua Carlos Gomes / Do Cavalo Dourado	Praça	-8.059028696	-34.91222267
218	Do Derby	Praça	-8.056286413	-34.89910823
219	Do Derby	Praça	-8.057136516	-34.89908761
220	Poeta Fernando Pessoa/Nossa Senhora De Fátima	Praca	-8.055958926	-34.90106576
221	Correia De Araujo / Do Entroncamento	Praça	-8.050457829	-34.897231
222	Da Feb (Força Expedicionaria Brasileira)	Praça	-8.040594222	-34.89473909
223	Capiba	Praça	-8.009030103	-34.88522124
224	Onze De Junho	Praça	-8.044146364	-34.87414291
225	Onze De Junho	Praça	-8.045000556	-34.87471854
226	Melvin Jones	Praça	-8.033058472	-34.90728339
227	Mano Teodosio	Praça	-8.036080917	-34.92464338
228	De Apipucos	Praça	-8.020943313	-34.93562139
229	Vila Do Moinho	Praça	-8.037152315	-34.89067859
230	Othon Bezerra De Melo	Praça	-8.015465916	-34.92860365
231	Largo Da Encruzilhada	Praça	-8.037350908	-34.89142217
232	Professor Ageu Magalhães	Praça	-8.05733666	-34.90025304
233	Manuel Markman	Praca	-8.036620728	-34.90947217
234	Jose Sales Filho	Praca	-8.044528018	-34.90482779
235	Doutor Pedro Alves Neto	Praça	-8.018591518	-34.89320584
236	Doutor Pedro Alves Neto	Praça	-8.01839404	-34.89336753
237	Profeta Joseph Smith	Praça	-8.098106912	-34.88634993
238	Professor Dr Antonio Figueira/ Estrada Real Do Poco	Praça	-8.03549863	-34.92324247
239	Josenildo Paes Barreto	Praça	-8.06303777	-34.90501267
240	Dom  Miguel  Valverde	Praça	-8.03553322	-34.89271976
241	Abc	Praça	-8.073494139	-34.91860271
242	Jornalista Antônio Teixeira Junior	Praça	-8.129670524	-34.90246713
243	Alberto Pinto	Praça	-8.045053479	-34.88864
244	Faca Cega	Praça	-8.119843092	-34.95611551
245	Da  Rua Dr Julio Campelo	Praça	-8.032431242	-34.93133529
246	Jornalista Otávio Sarmento Cardoso/Coliseu	Praça	-8.037252355	-34.95602863
247	Angélica	Praça	-8.053687749	-34.93151417
248	Movicar	Praça	-8.093465192	-34.93254057
249	Das Crianças	Praça	-8.098665789	-34.93360387
250	Pedro Brandão	Praça	-8.097704971	-34.93173386
251	Eduardo Cardoso/Gregorio Albuquerque	Praça	-8.09643717	-34.93142046
252	Irmã Douraci	Praça	-8.07181677	-34.91832397
253	El Salvador	Praça	-8.076677599	-34.94207711
254	Noel Rodrigues	Praça	-8.067143641	-34.92752222
255	Noel Rodrigues	Praça	-8.066568087	-34.92736969
256	Dom Bosco	Praça	-8.075048933	-34.9299451
257	Nossa Senhora De Fátima	Praça	-8.072333057	-34.93061711
258	Professora Antonia Galvão	Praça	-8.021164799	-34.89318526
259	Desenhista Eulino Santos	Praça	-8.022917866	-34.88311476
260	Do Cajueiro	Praça	-8.01281867	-34.88307815
261	Sementes Do Amanhã	Praça	-8.013098914	-34.88177275
262	Do Colégio Jarbas Pernambucano	Praça	-8.011087595	-34.88380149
263	Lagoa Do Araça	Parque	-8.094360461	-34.91491461
264	Radio Capibaribe	Praça	-8.014349772	-34.88321901
265	Radio Capibaribe	Praça	-8.013924604	-34.88304571
266	Da Igreja	Praça	-8.129980705	-34.94806974
267	Da Comar	Praça	-7.990179773	-34.91556605
268	Raizes	Praça	-8.112185887	-34.95060483
269	Da Amizade	Praça	-8.065087774	-34.93222682
270	Do Fundão	Praça	-8.013909336	-34.88944698
271	Professor Trajano	Praça	-8.044982837	-34.90996987
272	Sao Francisco De Assis	Praça	-8.036490888	-34.9757881
273	Tamarindo	Praça	-8.114388946	-34.9501783
274	Da Rua Tenente João Mauricio Campos	Praça	-8.121774812	-34.94565974
275	Artur Lima Cavalcanti	Praça	-8.045358016	-34.874266
276	Da Trv José Leite	Praça	-8.089403777	-34.88886883
277	Luiz Americo Willians	Praça	-8.113285082	-34.95039008
278	Joao Rique	Praça	-8.032167777	-34.93204838
279	Jose Maria Do Nascimento Paraiba/ Do Lixão	Praça	-8.119127435	-34.95361817
280	Da Rua Abc	Praça	-8.082779575	-34.91067924
281	Santa Luzia	Praça	-8.115719677	-34.95500836
282	Brasilit	Praça	-8.041706266	-34.95026367
283	Sabere	Praça	-8.03727147	-34.95239724
284	Quitéria	Praça	-8.052537548	-34.95636268
285	Carmela Dutra/ Ipiranga	Praça	-8.078167137	-34.91432807
286	Isabel Cabral	Praça	-8.080062722	-34.91913278
287	Joaquim Cardoso/ Da Biblioteca	Praça	-8.082177592	-34.9080519
288	Joao Miguel De Souza Junior I	Praça	-8.058880804	-34.94576938
289	Joao Miguel De Souza Junior Ii	Praça	-8.059468402	-34.94566536
290	Sitio Das Palmeiras	Praça	-8.051317352	-34.93922838
291	Maria Sampaio Lucena	Praça	-8.120939851	-34.94593532
292	Paulo Freire	Praça	-8.04977648	-34.90498149
293	Do Finado Leiteiro	Praça	-8.120234711	-34.94726276
294	Dr Arnaldo Assunção	Parque	-8.057223142	-34.94285155
295	Coronel Silva Torres	Praça	-8.053406687	-34.90355401
296	Da Rua Cordislândia	Praça	-8.039633133	-34.93494625
297	Da Alegria	Praça	-8.063708519	-34.88698962
298	Da Comunidade	Praça	-8.116194218	-34.94763521
299	Forte Do Brum	Praça	-8.052791938	-34.87148251
300	Cívica	Praça	-8.046881037	-34.87599171
301	Do Escorrego	Praça	-8.11750539	-34.94688157
