NUMERO_PROCESSO	DATA_SOLICITACAO	LAT	LONG	VITIMA	VITIMA_FATAL	DATA_CONCLUSAO
8058937321	2021-07-05			Não	Não	
8044511921	2021-05-16			Não	Não	
8044307221	2021-05-14			Não	Não	
8038296221	2021-04-30			Não	Não	
8028329521	2021-04-01			Não	Não	
8082934220	2020-11-25			Não	Não	2020-11-25T16:25:07
8082318020	2020-11-24			Não	Não	2020-11-25T09:06:14
8000001720	2020-01-01			Não	Não	2020-01-02T08:37:12
8146602119	2019-12-10			Não	Não	2019-12-16T09:36:16
8146604419	2019-12-10			Não	Não	2019-12-10T08:48:09
8109426919	2019-09-09			Não	Não	2019-09-16T14:40:50
8112538919	2019-09-17			Não	Não	2019-09-20T11:14:10
8077330119	2019-06-17			Não	Não	2019-06-19T11:00:30
8129200818	2018-10-22			Não	Não	2018-10-22T10:56:53
8129202018	2018-10-22			Não	Não	2018-10-22T16:02:09
8058324118	2018-05-04			Não	Não	2018-05-05T09:37:38
8040606518	2018-04-02			Não	Não	2018-04-11T10:42:54
8094575217	2017-10-15	-8.0539034	-34.88400160000003	Não	Não	2017-10-16T08:56:09
8070311517	2017-08-03	-8.0375561	-34.89852380000002	Não	Não	2017-08-04T16:16:10
8045936517	2017-05-29	-8.0372529	-34.89394300000004	Não	Não	2017-05-30T08:44:40
8045912917	2017-05-29	-8.0372529	-34.89394300000004	Não	Não	2017-05-30T08:44:13
8038156817	2017-05-08	-8.0372694	-34.8984006	Não	Não	2017-05-08T15:14:02
8012686017	2017-02-14	-8.0373731	-34.89710009999999	Não	Não	2017-02-16T16:34:31
8046976216	2016-08-01			Não	Não	2016-08-01T14:25:58
8021489016	2016-05-02	-8.0578381	-34.88289689999999	Não	Não	2016-05-03T09:01:16
8017416216	2016-04-16	-8.0347776	-34.897071600000004	Não	Não	2016-04-19T16:26:09
8018516016	2016-04-18	-8.0578381	-34.88289689999999	Não	Não	2016-04-19T08:29:30
