ID_PONTO	NOME_VIA	LONG	LAT
1	Avenida Domingos Ferreira - Herculano Bandeira	-34.88847	-8.08539
2	Avenida Domingos Ferreira - Herculano Bandeira	-34.8882	-8.08568
3	Avenida Domingos Ferreira - Herculano Bandeira	-34.88802	-8.08586
4	Avenida Domingos Ferreira - Herculano Bandeira	-34.8878	-8.0861
5	Avenida Domingos Ferreira - Herculano Bandeira	-34.88767	-8.08624
6	Avenida Domingos Ferreira - Herculano Bandeira	-34.8876	-8.08631
7	Avenida Domingos Ferreira - Herculano Bandeira	-34.88755	-8.08636
8	Avenida Domingos Ferreira - Herculano Bandeira	-34.88752	-8.08639
9	Avenida Domingos Ferreira - Herculano Bandeira	-34.88747	-8.08644
10	Avenida Domingos Ferreira - Herculano Bandeira	-34.88692	-8.08702
11	Avenida Domingos Ferreira - Herculano Bandeira	-34.8863	-8.08767
12	Avenida Domingos Ferreira - Herculano Bandeira	-34.88616	-8.08782
13	Avenida Domingos Ferreira - Herculano Bandeira	-34.88601	-8.08797
14	Avenida Domingos Ferreira - Herculano Bandeira	-34.88577	-8.08822
15	Avenida Domingos Ferreira - Herculano Bandeira	-34.88566	-8.08834
16	Avenida Domingos Ferreira - Herculano Bandeira	-34.8855	-8.08851
17	Avenida Domingos Ferreira - Herculano Bandeira	-34.88532	-8.08869
18	Avenida Domingos Ferreira - Herculano Bandeira	-34.88513	-8.0889
19	Avenida Domingos Ferreira - Herculano Bandeira	-34.88508	-8.08894
20	Avenida Domingos Ferreira - Herculano Bandeira	-34.88487	-8.08917
21	Avenida Domingos Ferreira - Herculano Bandeira	-34.88471	-8.08933
22	Avenida Domingos Ferreira - Herculano Bandeira	-34.88466	-8.08939
23	Avenida Domingos Ferreira - Herculano Bandeira	-34.88462	-8.08943
24	Avenida Domingos Ferreira - Herculano Bandeira	-34.8846	-8.08948
25	Avenida Domingos Ferreira - Herculano Bandeira	-34.88458	-8.08951
26	Avenida Domingos Ferreira - Herculano Bandeira	-34.88457	-8.08955
